Type Size	Max Concurrent Allocs	Max Alloc Size	Pool	New
1	64	1	2.9622424	2.674942
1	64	2	1.7750969	1.6612359
1	64	4	2.1380808	2.2873168
1	64	8	1.8150542	1.6597651
1	64	16	2.0768137	1.7802442
1	64	32	1.6799195	1.4193597
1	64	64	1.735538	1.4369755
1	64	128	1.7085048	1.4086758
1	64	256	2.474833	1.8386348
1	64	512	1.80642	1.5061306
1	64	1024	1.729632	1.3828883
1	64	2048	1.8544945	1.6361271
1	64	4096	1.7404782	1.6746413
4	64	1	1.5777035	1.4733748
4	64	2	1.5155171	1.4530694
4	64	4	1.5769594	1.7322367
4	64	8	1.6594293	1.5391839
4	64	16	1.7521536	1.4678737
4	64	32	1.7366036	1.449712
4	64	64	1.7629433	1.5562316
4	64	128	1.7314643	1.4266617
4	64	256	1.7224139	1.4096173
4	64	512	1.7382596	1.68149
4	64	1024	1.7369522	1.611281
4	64	2048	1.8774947	1.7873517
4	64	4096	1.6903546	1.692519
8	64	1	1.5202465	1.5401915
8	64	2	1.4848853	1.3567872
8	64	4	1.6674877	1.4944212
8	64	8	1.7143909	1.4805933
8	64	16	1.8258512	1.4662831
8	64	32	1.862379	1.7804363
8	64	64	1.7481972	1.4300425
8	64	128	1.7521083	1.3410563
8	64	256	1.7264847	1.5554934
8	64	512	1.8215212	1.6098834
8	64	1024	1.7509038	1.6225058
8	64	2048	1.6764467	1.6877505
8	64	4096	1.7085805	1.7258598
40	64	1	1.5045445	1.370899
40	64	2	1.5784671	1.4302615
40	64	4	1.6576847	1.398453
40	64	8	1.6530929	1.3994943
40	64	16	1.6958432	1.3540986
40	64	32	1.7223349	1.4704515
40	64	64	1.7135175	1.5514959
40	64	128	1.7988662	1.5384284
40	64	256	1.8185701	1.5813293
40	64	512	1.7416092	1.6324924
40	64	1024	1.7901675	1.6384017
40	64	2048	1.8236885	1.7190055
40	64	4096	1.7435626	1.8275365
224	64	1	1.5040498	1.4442798
224	64	2	1.5440447	1.443136
224	64	4	1.5514506	1.3900722
224	64	8	1.6066912	1.6484377
224	64	16	1.6763566	1.6787925
224	64	32	1.6757169	1.6247042
224	64	64	1.7423995	1.5271502
224	64	128	1.8091791	1.5298142
224	64	256	1.7908909	1.6753001
224	64	512	1.807833	1.8796322
224	64	1024	1.802358	1.7130042
224	64	2048	1.8747618	1.861164
224	64	4096	1.7302129	2.187575
1920	64	1	1.4169133	1.514699
1920	64	2	1.5060433	1.5130697
1920	64	4	1.6180226	1.7902111
1920	64	8	1.5344518	1.5947536
1920	64	16	1.8586972	1.841547
1920	64	32	1.7054527	1.8250918
1920	64	64	1.7160414	1.738071
1920	64	128	1.6246235	1.668495
1920	64	256	1.699488	2.325697
1920	64	512	1.7270895	1.8733008
1920	64	1024	1.7694781	3.8841426
1920	64	2048	1.9920292	5.029703

